id,title,link,pubDate,resume,creator,source
1,"SEC Hasn't Met Requirements to Argue for an Appeal, Ripple Says",https://www.coindesk.com/policy/2023/09/01/sec-hasnt-met-requirements-to-argue-for-an-appeal-ripple-says/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 20:48:37 +0000",Ripple made its case to a federal judge for why the U.S. Securities and Exchange Commission shouldn't be able to appeal her ruling on its programmatic sales of XRP on Friday.,Nikhilesh De,coindesk
2,Large Bitcoin Holders Accumulate $1.5B Worth of BTC as Price Wavers,https://www.coindesk.com/markets/2023/09/01/large-bitcoin-holders-accumulate-15b-worth-of-btc-as-price-wavers/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 20:31:28 +0000","The accumulation by BTC whales suggests optimism among large investors, IntoTheBlock’s head of research noted.",Krisztian  Sandor,coindesk
3,"MakerDAO Should Use Solana’s Code to Build Its New Blockchain, Co-Founder Says",https://www.coindesk.com/tech/2023/09/01/makerdao-should-use-solanas-code-to-build-its-new-blockchain-co-founder-says/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 18:02:56 +0000",Some community members have already pushed back against the idea.,Krisztian  Sandor,coindesk
4,"Traders Are Paying 2,000% to Buy CYBER as Social Network's Tokens Soar",https://www.coindesk.com/markets/2023/09/01/traders-are-paying-2000-to-buy-cyber-as-social-networks-tokens-soar/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 14:38:10 +0000",The price of the tokens has more than doubled on some exchanges in the past week in an otherwise little-changed market.,Shaurya Malwa,coindesk
5,Robinhood to Buy Back Sam Bankman-Fried's Stake for $605.7M,https://www.coindesk.com/business/2023/09/01/robinhood-to-buy-back-sam-bankman-frieds-6057m-stock/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 13:42:44 +0000",The 55 million HOOD shares owned by Bankman-Fried and fellow FTX co-founder Gary Wang through Emergent Fidelity Technologies.,Jamie Crawley,coindesk
6,First Mover Americas: SEC Delays Spot Bitcoin ETF Decision for All Applicants ,https://www.coindesk.com/markets/2023/09/01/first-mover-americas-sec-delays-spot-bitcoin-etf-decision-for-all-applicants/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 12:38:16 +0000","The latest price moves in bitcoin (BTC) and crypto markets in context for Sept 1, 2023. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.","Lyllah Ledesma, Omkar Godbole",coindesk
7,"U.S. August Job Adds of 187K Vs Estimates for 170K; Unemployment Rate Rises to 3.8%",https://www.coindesk.com/markets/2023/09/01/us-august-job-adds-of-187k-vs-estimates-for-170k-unemployment-rate-rises-to-38/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 12:36:10 +0000","With spot bitcoin ETF aspirations sidelined after the SEC yesterday pushed off decisions on a raft of new applications, crypto bulls are hoping an employment slowdown and lower interest rates could provide a positive catalyst.",Stephen  Alpher,coindesk
8,Stablecoins Can Provide an Escape From High-Inflation Currencies: Brevan Howard Digital,https://www.coindesk.com/markets/2023/09/01/stablecoins-can-provide-an-escape-from-high-inflation-currencies-brevan-howard-digital/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 12:05:29 +0000","Usage has shown a low correlation with crypto exchange volumes, which suggests that significant stablecoin transaction volumes are likely being used for non-speculative purposes, the report said.",Will Canny,coindesk
9,Lira-Backed TRYB Token Becomes World's Second-Largest Non-Dollar-Pegged Stablecoin,https://www.coindesk.com/markets/2023/09/01/lira-backed-tryb-token-becomes-worlds-second-largest-non-dollar-pegged-stablecoin/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 10:52:53 +0000","The market cap of BiLira's TRYB token has increased more than 300% to $136.10 million, the second-highest among non-U.S. dollar-pegged stablecoins.",Omkar Godbole,coindesk
10,Creditors Accuse Genesis of Ballot-Stuffing Over $175M FTX Deal,https://www.coindesk.com/policy/2023/09/01/creditors-accuse-genesis-of-ballot-stuffing-over-175m-ftx-deal/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 10:02:19 +0000",Genesis is facing headwinds as it seeks to finalize its wind-up after a January bankruptcy – and is now being accused by Gemini and other creditors of voter “manipulation.”,Jack Schickler,coindesk
